playerId,assists,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,evGoals,evPoints,evenStrengthGoalDifference,evenStrengthGoalsAgainst,evenStrengthGoalsFor,evenStrengthGoalsForPct,evenStrengthTimeOnIcePerGame,faceoffWinPct,firstGoals,gameWinningGoals,gamesPlayed,giveaways,giveawaysPer60,goals,hits,hitsPer60,lastName,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,penaltyMinutes,plusMinus,points,pointsPerGame,positionCode,powerPlayGoalFor,powerPlayGoalsAgainst,powerPlayTimeOnIcePerGame,ppAssists,ppGoals,ppGoalsAgainstPer60,ppGoalsForPer60,ppGoalsPer60,ppIndividualSatFor,ppIndividualSatForPer60,ppPoints,ppPointsPer60,ppPrimaryAssists,ppPrimaryAssistsPer60,ppSecondaryAssists,ppSecondaryAssistsPer60,ppShootingPct,ppShots,ppShotsPer60,ppTimeOnIce,ppTimeOnIcePctPerGame,ppTimeOnIcePerGame,satPercentage,satPercentageAhead,satPercentageBehind,satPercentageClose,satPercentageTied,satRelative,seasonId,shAssists,shGoals,shGoalsPer60,shIndividualSatFor,shIndividualSatForPer60,shPoints,shPointsPer60,shPrimaryAssists,shPrimaryAssistsPer60,shSecondaryAssists,shSecondaryAssistsPer60,shShootingPct,shShots,shShotsPer60,shTimeOnIce,shTimeOnIcePctPerGame,shTimeOnIcePerGame,shootingPct,shootingPct5v5,shootsCatches,shortHandedGoalsAgainst,shortHandedGoalsFor,shortHandedTimeOnIcePerGame,shotAttemptsBlocked,shots,skaterFullName,skaterSavePct5v5,skaterShootingPlusSavePct5v5,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame,timeOnIcePerGame5v5,totalShotAttempts,usatPercentage,usatPercentageAhead,usatPercentageBehind,usatPercentageTied,usatPrecentageClose,usatRelative,zoneStartPct5v5,topShotSpeed.imperial,topShotSpeed.metric,topShotSpeed.percentile,topShotSpeed.leagueAvg.imperial,topShotSpeed.leagueAvg.metric,skatingSpeed.speedMax.imperial,skatingSpeed.speedMax.metric,skatingSpeed.speedMax.percentile,skatingSpeed.speedMax.leagueAvg.imperial,skatingSpeed.speedMax.leagueAvg.metric,skatingSpeed.burstsOver20.value,skatingSpeed.burstsOver20.percentile,skatingSpeed.burstsOver20.leagueAvg.value,totalDistanceSkated.imperial,totalDistanceSkated.metric,totalDistanceSkated.percentile,totalDistanceSkated.leagueAvg.imperial,totalDistanceSkated.leagueAvg.metric,distanceMaxGame.imperial,distanceMaxGame.metric,distanceMaxGame.percentile,distanceMaxGame.leagueAvg.imperial,distanceMaxGame.leagueAvg.metric,zoneTimeDetails.offensiveZonePctg,zoneTimeDetails.offensiveZonePercentile,zoneTimeDetails.offensiveZoneLeagueAvg,zoneTimeDetails.offensiveZoneEvPctg,zoneTimeDetails.offensiveZoneEvPercentile,zoneTimeDetails.offensiveZoneEvLeagueAvg,zoneTimeDetails.neutralZonePctg,zoneTimeDetails.neutralZonePercentile,zoneTimeDetails.neutralZoneLeagueAvg,zoneTimeDetails.defensiveZonePctg,zoneTimeDetails.defensiveZonePercentile,zoneTimeDetails.defensiveZoneLeagueAvg,highDangerShots,highDangerGoals,midDangerShots,longDangerShots,shotsCrease,shotsLowSlot,shotsHighSlot,goalsPer60,assistsPer60,pointsPer60,shotsPer60,missedShotsPer60,totalShotAttemptsPer60,evGoalsPer60,evPointsPer60,ppGoalsPer2,ppAssistsPer2,ppPointsPer2,ppShotsPer2,ppPrimaryAssistsPer2,ppSecondaryAssistsPer2,ppIndividualSatForPer2,shGoalsPer2,shAssistsPer2,shPointsPer2,shShotsPer2,shPrimaryAssistsPer2,shSecondaryAssistsPer2,shIndividualSatForPer2
8470600,15,111,4.288290000835379,0.0,0,0.0,2,16,9.0,58.0,67.0,0.536,1053.719512,0.0,0,1,82,30,1.1589972975230753,2,86,3.3224589195661496,Suter,0,0.0,0,5,1,55,61,0,28,14,17,0.20731,D,1.0,9.0,5.109,0,0,5.09434,8.59195,0.0,3,25.775,0,0.0,0,0.0,0,0.0,0.0,0,0.0,419,0.018,5.109,0.516,0.48,0.543,0.521,0.537,-0.022,20232024,1,0,0.0,6,3.396,1,0.566,1,0.566,0,0.0,0.0,2,1.132,6360,0.27296,77.56,0.0196,0.09,L,0.0,6.0,77.56,91,102,Ryan Suter,0.916,1.006,16,0.6181318920123069,DAL,1136.3902,1028.243,254,0.512,0.493,0.525,0.525,0.513,-0.027,0.49,97.54,156.9754,0.8403,90.2146,145.1863,21.561,34.698,0.4427,21.6601,34.8585,24.0,0.5191,30.2889,231.9893,373.3324,0.8376,136.5257,219.7061,3.4782,5.5973,0.6146,3.2737,5.2683,0.42178378,0.6042553191489,0.42065626,0.42618159,0.5957446808511,0.42481995,0.19258458,0.9744680851064,0.17771932,0.38563164,0.7446808510638,0.40162442,1,0,11,57,0,1,4,0.07726648650153836,0.5794986487615377,0.6567651352630761,3.9405908115784567,2.35662783829692,9.812843785695373,0.08332851109696496,0.6666280887757197,0.0,0.0,0.0,0.0,0.0,0.0,0.8593156982656145,0.0,0.01886816186367124,0.01886816186367124,0.03773632372734248,0.01886816186367124,0.0,0.11320897118202745
8470604,4,33,2.1876438955918447,1.0,0,1.0,5,9,-5.0,20.0,15.0,0.428571,566.986111,0.625,0,4,72,20,1.3258447852071786,11,83,5.502255858609791,Carter,0,0.0,1,2,1,40,44,0,12,-7,15,0.20833,C,7.0,12.0,100.388,0,4,6.90758,3.48644,1.992,31,15.439,4,1.992,0,0.0,0,0.0,0.2,20,9.961,7228,0.304,100.388,0.44,0.408,0.494,0.411,0.417,-0.085,20232024,0,2,1.151,7,4.029,2,1.151,0,0.0,0,0.0,0.4,5,2.878,6254,0.29566,86.861,0.12222,0.047,R,4.0,2.0,86.861,41,90,Jeff Carter,0.937,0.984,23,1.5247215029882553,PIT,754.2361,553.666,175,0.441,0.424,0.492,0.405,0.406,-0.082,0.149,97.62,157.1042,0.9734,84.5238,136.0278,22.83,36.742,0.8109,22.0904,35.551,103.0,0.7451,73.1691,142.6253,229.5219,0.528,124.2686,199.9811,2.7354,4.402,0.3947,2.9221,4.7024,0.39447305,0.1811594202899,0.42436392,0.38525125,0.1062801932367,0.4125663,0.17034077,0.0917874396135,0.17788498,0.43518617,0.1352657004831,0.3977511,37,9,17,9,4,33,5,0.7292146318639482,0.2651689570414357,0.9943835889053839,5.966301533432303,2.9168585274557928,11.601141870562813,0.4409279083734028,0.7936702350721251,0.0664089997476458,0.0,0.0664089997476458,0.33204499873822896,0.0,0.0,0.5146697480442549,0.03837548880778869,0.0,0.03837548880778869,0.09593872201947172,0.0,0.0,0.13431421082726042
8470610,5,25,3.8558760916788515,0.0,0,0.0,5,8,-7.0,18.0,11.0,0.37931,697.166666,0.30232,1,1,30,4,0.6169401746686163,5,20,3.084700873343081,Parise,0,0.0,2,1,0,9,12,0,8,-7,10,0.33333,L,2.0,5.0,20.533,2,0,9.94476,11.68831,0.0,7,40.909,2,11.688,1,5.844,1,5.844,0.0,6,35.064,616,0.073,20.533,0.488,0.562,0.44,0.485,0.443,-0.041,20232024,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,1810,0.21581,60.333,0.1,0.053,L,0.0,0.0,60.333,16,50,Zach Parise,0.915,0.968,11,1.6965854803386948,COL,778.0333,683.766,78,0.492,0.58,0.422,0.45,0.491,-0.038,0.426,79.6,128.1038,0.183,84.5238,136.0278,21.927,35.289,0.3668,22.0904,35.551,28.0,0.3125,73.1691,63.1972,101.701,0.3158,124.2686,199.9811,3.0949,4.9805,0.5641,2.9221,4.7024,0.39728726,0.2101449275362,0.42436392,0.40415816,0.3478260869565,0.4125663,0.17464993,0.2729468599034,0.17788498,0.42806281,0.1884057971014,0.3977511,24,4,13,2,5,19,4,0.7711752183357703,0.7711752183357703,1.5423504366715406,7.711752183357703,1.8508205240058488,12.030333406038018,0.8606263455516389,1.3770021528826222,0.0,0.3896167145570545,0.3896167145570545,1.1688501436711634,0.19480835727852724,0.19480835727852724,1.3636585009496907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470613,33,87,2.96075039269599,1.0,1,2.0,5,22,18.0,59.0,77.0,0.566176,994.195121,0.0,1,0,82,56,1.9057703677123612,10,41,1.3952961620751216,Burns,4,0.0,3,10,5,93,115,0,20,19,43,0.52439,D,39.0,18.0,157.731,16,4,5.72134,10.85511,1.113,57,15.865,20,5.566,6,1.67,10,2.783,0.097,41,11.411,12934,0.552,157.731,0.598,0.553,0.634,0.616,0.616,0.01,20232024,0,1,0.317,9,2.86,1,0.317,0,0.0,0,0.0,0.166,6,1.907,11326,0.43697,138.121,0.05405,0.089,R,3.0,4.0,138.121,236,185,Brent Burns,0.918,1.007,35,1.1911064798202258,CAR,1290.0487,935.524,536,0.586,0.555,0.618,0.595,0.598,0.001,0.522,98.87,159.1158,0.8914,90.2146,145.1863,21.846,35.157,0.5446,21.6601,34.8585,35.0,0.6529,30.2889,257.5022,414.3894,0.914,136.5257,219.7061,3.774,6.0733,0.7707,3.2737,5.2683,0.48462895,0.9829787234043,0.42065626,0.47727663,0.9872340425532,0.42481995,0.18498395,0.868085106383,0.17771932,0.3303871,0.9914893617021,0.40162442,3,2,35,108,0,3,14,0.34031613709149305,1.1230432524019272,1.4633593894934203,6.295848536192622,3.91363557655217,18.24094494810403,0.22079387686107063,0.9714930581887108,0.03711165551847998,0.14844662207391993,0.1855582775923999,0.3803944690644198,0.055667483277719976,0.09277913879619995,0.5288410911383398,0.010595163908068589,0.0,0.010595163908068589,0.06357098344841153,0.0,0.0,0.09535647517261729
8470621,10,17,1.4115042662508874,1.0,0,1.0,9,18,-3.0,35.0,32.0,0.477611,691.018518,0.0,1,2,54,20,1.6605932544128086,12,43,3.5702754969875388,Perry,1,0.0,1,3,1,32,38,0,46,-6,22,0.4074,R,7.0,0.0,111.907,1,3,0.0,4.17011,1.787,23,13.701,4,2.382,0,0.0,1,0.595,0.187,16,9.531,6043,0.388,111.907,0.496,0.467,0.498,0.497,0.524,-0.024,20232024,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.14634,0.107,R,3.0,0.0,0.0,23,82,Corey Perry,0.893,1.0,15,1.2454449408096064,"CHI,EDM",802.9259,666.962,143,0.489,0.486,0.471,0.513,0.488,-0.027,0.526,90.06,144.9375,0.7138,84.5238,136.0278,20.55,33.071,0.0576,22.0904,35.551,6.0,0.1283,73.1691,107.0253,172.2321,0.4375,124.2686,199.9811,2.5739,4.142,0.3059,2.9221,4.7024,0.4319406,0.6618357487923,0.42436392,0.41358549,0.5314009661836,0.4125663,0.17860635,0.524154589372,0.17788498,0.38945305,0.6521739130435,0.3977511,42,10,18,2,5,37,10,0.9963559526476852,0.8302966272064043,1.8266525798540896,6.808432343092516,3.1551271833843364,11.873241769051582,0.8682835327431848,1.7365670654863696,0.05957327661957399,0.01985775887319133,0.07943103549276533,0.3177241419710613,0.0,0.01985775887319133,0.45672845408340057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470794,40,70,3.0470849422254194,2.0,2,4.0,16,46,15.0,53.0,68.0,0.561983,845.670731,0.51079,5,4,82,56,2.4376679537803354,27,75,3.2647338666700922,Pavelski,1,0.0,3,5,5,53,67,1,20,12,67,0.81707,C,40.0,0.0,159.817,10,11,0.0,10.98817,3.021,76,20.877,21,5.768,8,2.197,2,0.549,0.189,58,15.932,13105,0.58,159.817,0.526,0.485,0.552,0.542,0.546,-0.007,20232024,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,252,0.01081,3.073,0.13917,0.099,R,3.0,0.0,3.073,68,194,Joe Pavelski,0.906,1.005,25,1.0882446222233642,DAL,1008.5609,797.036,329,0.522,0.51,0.534,0.524,0.531,-0.011,0.515,87.21,140.3509,0.5291,84.5238,136.0278,20.866,33.58,0.0839,22.0904,35.551,13.0,0.1941,73.1691,222.0326,357.3095,0.8602,124.2686,199.9811,3.3636,5.4129,0.7122,2.9221,4.7024,0.44896955,0.8115942028986,0.42436392,0.42242534,0.7173913043478,0.4125663,0.18884842,0.9661835748792,0.17788498,0.36218204,0.8864734299517,0.3977511,83,17,60,14,4,79,23,1.1753041920012333,1.7411913955573826,2.916495587558616,8.444778268453305,2.916495587558616,14.321299228459472,0.8306294620834451,2.3880597034899047,0.10072496027087077,0.09156814570079161,0.19229310597166238,0.5310952450645914,0.0732545165606333,0.018313629140158324,0.6959179073260163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470966,6,86,6.750539915639444,1.0,0,1.0,3,9,9.0,27.0,36.0,0.571428,836.217391,0.0,1,1,46,27,2.119355554910058,3,51,4.003227159274554,Giordano,0,0.0,1,1,1,21,24,0,49,10,9,0.19565,D,1.0,18.0,25.13,0,0,10.38295,3.11418,0.0,1,3.114,0,0.0,0,0.0,0,0.0,0.0,1,3.114,1156,0.096,25.13,0.537,0.547,0.535,0.518,0.53,0.039,20232024,0,0,0.0,7,4.037,0,0.0,0,0.0,0,0.0,0.0,6,3.46,6241,0.45852,135.673,0.05084,0.091,L,1.0,1.0,135.673,64,59,Mark Giordano,0.909,1.0,9,0.706451851636686,TOR,997.0217,820.5,147,0.541,0.539,0.538,0.545,0.524,0.034,0.55,97.71,157.249,0.853,90.2146,145.1863,21.24,34.182,0.2994,21.6601,34.8585,15.0,0.4108,30.2889,101.4138,163.2018,0.3822,136.5257,219.7061,3.034,4.8825,0.3185,3.2737,5.2683,0.41854467,0.531914893617,0.42065626,0.43991779,0.8255319148936,0.42481995,0.17690861,0.3872340425532,0.17771932,0.40454672,0.5148936170213,0.40162442,3,1,8,33,0,3,1,0.235483950545562,0.470967901091124,0.706451851636686,4.631184360729386,1.883871604364496,11.538713576732539,0.28076743108019403,0.8423022932405821,0.0,0.0,0.0,0.10380802436028305,0.0,0.0,0.10380802436028305,0.0,0.0,0.0,0.115366903606786,0.0,0.0,0.13459472087458368
8471214,34,27,1.0668657189309205,2.0,3,5.0,18,37,-17.0,72.0,55.0,0.43307,879.848101,0.0,4,5,79,35,1.3829740800956378,31,162,6.401194313585523,Ovechkin,2,0.0,6,10,2,103,123,1,20,-22,65,0.82278,L,47.0,0.0,273.139,15,13,0.0,7.84132,2.168,154,25.692,28,4.671,8,1.334,7,1.167,0.119,109,18.185,21578,0.967,273.139,0.478,0.427,0.519,0.473,0.477,0.017,20232024,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,22,0.00099,0.278,0.11397,0.079,R,5.0,0.0,0.278,210,272,Alex Ovechkin,0.898,0.977,26,1.0273521737853308,WSH,1153.2658,837.797,605,0.465,0.418,0.497,0.465,0.457,0.004,0.743,98.4,158.3594,0.9817,84.5238,136.0278,21.689,34.905,0.2566,22.0904,35.551,14.0,0.2056,73.1691,225.6277,363.0949,0.8766,124.2686,199.9811,3.4974,5.6283,0.7632,2.9221,4.7024,0.42884168,0.5990338164251,0.42436392,0.38650309,0.1207729468599,0.4125663,0.17447984,0.2657004830918,0.17788498,0.39667847,0.5410628019324,0.3977511,48,11,125,59,4,44,17,1.224919899513279,1.3434605349500481,2.5683804344633274,10.747684279600385,4.860166052907527,23.905694813081737,0.9322667897159694,1.9163261788606039,0.0722959205497493,0.08341836986509535,0.15571429041484466,0.6061734876863596,0.04448979726138419,0.038928572603711166,0.8564285972816456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471215,40,42,1.6536157486216736,1.0,1,2.0,21,49,10.0,57.0,67.0,0.540322,908.585365,0.48564,3,2,82,56,2.2048209981622313,27,29,1.141782302619727,Malkin,1,0.0,9,2,3,66,81,0,70,5,67,0.81707,C,30.0,3.0,205.121,12,6,96.42891,6.42092,1.284,97,20.76,18,3.852,5,1.07,7,1.498,0.086,69,14.768,16820,0.644,205.121,0.518,0.483,0.567,0.511,0.503,0.011,20232024,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,112,0.00469,1.365,0.13567,0.095,L,5.0,0.0,1.365,121,199,Evgeni Malkin,0.913,1.008,90,3.5434623184750147,PIT,1115.0731,847.524,401,0.507,0.491,0.539,0.492,0.497,0.001,0.629,91.7,147.5768,0.7987,84.5238,136.0278,21.331,34.328,0.1628,22.0904,35.551,48.0,0.4622,73.1691,259.6773,417.8897,0.9704,124.2686,199.9811,3.935,6.3324,0.9161,2.9221,4.7024,0.45395172,0.8574879227053,0.42436392,0.42163881,0.6908212560386,0.4125663,0.17876566,0.5386473429952,0.17788498,0.36728262,0.8574879227053,0.3977511,60,13,74,26,9,51,23,1.0630386955425044,1.5748721415444509,2.6379108370869555,7.834988904183644,3.1891160866275134,15.788093218983121,1.0147106205174183,2.367658114540643,0.04280638162293499,0.08561276324586999,0.12841914486880496,0.49227338866375236,0.03567198468577916,0.04994077856009082,0.6920365029041157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471218,12,31,2.7084093708343184,0.0,2,2.0,8,20,2.0,29.0,31.0,0.516666,704.666666,0.6129,1,1,54,21,1.8347289286296997,9,31,2.7084093708343184,Wheeler,0,0.0,1,2,0,30,33,0,23,2,21,0.38888,R,2.0,0.0,58.351,0,1,0.0,2.28499,1.142,15,17.137,1,1.142,0,0.0,0,0.0,0.09,11,12.567,3151,0.203,58.351,0.475,0.424,0.523,0.479,0.488,-0.032,20232024,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,0.00013,0.037,0.10843,0.086,R,0.0,0.0,0.037,28,83,Blake Wheeler,0.918,1.004,16,1.3978887075273903,NYR,763.0555,690.925,144,0.478,0.454,0.503,0.482,0.488,-0.041,0.558,97.36,156.6857,0.9667,84.5238,136.0278,22.363,35.99,0.5905,22.0904,35.551,71.0,0.5773,73.1691,105.765,170.204,0.4342,124.2686,199.9811,2.7691,4.4562,0.4145,2.9221,4.7024,0.42078722,0.4951690821256,0.42436392,0.40832336,0.4275362318841,0.4125663,0.18278499,0.780193236715,0.17788498,0.39642779,0.548309178744,0.3977511,18,3,24,15,4,14,12,0.786312397984157,1.0484165306455426,1.8347289286296997,7.251547670298337,2.883145459275242,12.580998367746512,0.756859035720775,1.8921475893019373,0.038083704173402726,0.0,0.038083704173402726,0.41892074590743,0.0,0.0,0.5712555626010409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
